customer_id,customer_name,city,state,joining_date,is_active
1,Onkar Bains,Udaipur,Gujarat,2023-11-13,True
2,Aarav Bahl,Munger,Rajasthan,2021-04-25,True
3,Vaibhav Lad,Gangtok,Telangana,2021-10-19,True
4,Shanaya Ratti,Morena,Maharashtra,2023-07-11,True
5,Lakshit Choudhry,Sirsa,Telangana,2022-02-25,True
6,Dishani Gara,Asansol,Telangana,2021-05-22,True
7,Kabir Mangal,Gudivada,Gujarat,2024-03-23,False
8,Kimaya Bedi,Medininagar,Karnataka,2022-04-19,True
9,Samar Sandhu,Mehsana,Kerala,2021-04-15,True
10,Hazel Shenoy,Bhubaneswar,Rajasthan,2023-01-28,False
11,Lavanya Das,Bareilly,Delhi,2022-08-05,True
12,Renee Deo,Buxar,Tamil Nadu,2024-11-11,False
13,Divyansh Bava,Kirari Suleman Nagar,Delhi,2021-05-11,True
14,Badal Chaudry,Giridih,Maharashtra,2024-02-16,False
15,Dhanush Gulati,Secunderabad,Delhi,2024-08-08,False
16,Bhamini Bera,Morena,Tamil Nadu,2024-03-06,True
17,Lavanya Chaudhary,Khammam,Delhi,2022-12-30,True
18,Ahana  Boase,Orai,Delhi,2023-10-24,False
19,Aniruddh Vohra,Khora ,Rajasthan,2021-09-21,True
20,Prerak Chana,Gangtok,Kerala,2022-02-09,True
21,Vivaan Handa,Serampore,Tamil Nadu,2024-01-09,False
22,Alisha Dara,Hapur,Karnataka,2022-07-05,True
23,Jayan Goyal,Bijapur,Gujarat,2024-11-07,True
24,Anahi Kanda,Bhiwandi,Karnataka,2023-10-29,False
25,Sana Handa,Agra,Punjab,2023-12-19,True
26,Prisha Deol,Deoghar,Punjab,2022-11-06,False
27,Kimaya Bhardwaj,Amaravati,Rajasthan,2021-06-15,True
28,Anahi Bala,Bidhannagar,Gujarat,2024-07-05,True
29,Arhaan Jha,Tiruchirappalli,Karnataka,2024-08-18,False
30,Vaibhav Uppal,Dharmavaram,Telangana,2024-04-11,False
31,Uthkarsh Das,Shivpuri,Rajasthan,2022-06-26,False
32,Chirag Goda,Jalgaon,Andhra Pradesh,2024-10-29,False
33,Priyansh Golla,Adoni,Andhra Pradesh,2023-06-27,True
34,Yuvraj  Bali,Chinsurah,Rajasthan,2022-03-20,True
35,Vidur Kumer,Bhopal,Maharashtra,2021-09-23,False
36,Renee Khurana,Dhanbad,Telangana,2024-03-04,False
37,Biju Cherian,Hosur,Kerala,2023-01-21,True
38,Chirag Datta,Kadapa,Delhi,2022-02-08,False
39,Hridaan Chakraborty,Arrah,Andhra Pradesh,2023-01-18,False
40,Lavanya Chander,Bhalswa Jahangir Pur,Delhi,2021-09-07,True
41,Anay Bassi,Khandwa,Maharashtra,2023-01-16,False
42,Rati Suri,Patna,Tamil Nadu,2024-10-16,False
43,Fateh Anne,Bilaspur,Telangana,2024-04-07,True
44,Dharmajan Karpe,Katihar,Karnataka,2024-04-20,True
45,Dhruv Halder,Saharanpur,Andhra Pradesh,2023-08-28,True
46,Kashvi Jain,Bhiwani,Punjab,2023-11-13,True
47,Anahi Dayal,South Dumdum,Punjab,2021-11-30,True
48,Madhav Bail,Motihari,Delhi,2024-10-24,False
49,Tushar Bawa,Arrah,Tamil Nadu,2022-08-11,False
50,Eva Cherian,Bilaspur,Delhi,2022-04-22,False
51,Anahita Banerjee,Anantapur,Tamil Nadu,2024-05-05,False
52,Akarsh Buch,Nashik,Karnataka,2022-07-01,False
53,Krish Upadhyay,Ratlam,Delhi,2021-12-26,False
54,Pihu Grewal,Guwahati,Punjab,2022-02-09,True
55,Gokul Jain,Rampur,Gujarat,2024-06-09,True
56,Zaina Tiwari,Ambattur,Maharashtra,2021-07-11,False
57,Fateh Dugal,Kolkata,Karnataka,2023-07-04,False
58,Saanvi Sarkar,Bhilai,Telangana,2023-02-14,True
59,Diya Lad,Nandyal,Rajasthan,2022-03-22,True
